proteinID	LocusTag	location	proteinID2	description	strand	geneStart	geneEnd	gap_start	gap_end	gap_length	gap_treatment	gap_strand	overlap_type
AGU54306.1	RSAU_000443	489681..491207	AGU54306.1	polysaccharide biosynthesis protein	+	489681	491207	445217	512549	67332	PASN	-	Gene within gap
AGU54307.1	RSAU_000444	491207..492400	AGU54307.1	tetrapyrrole methylase/MazG family protein	+	491207	492400	445217	512549	67332	PASN	-	Gene within gap
AGU54308.1	RSAU_000445	492397..492660	AGU54308.1	RNA-binding S4 domain protein, putative	+	492397	492660	445217	512549	67332	PASN	-	Gene within gap
AGU54309.1	RSAU_000446	492678..493070	AGU54309.1	cell-division protein divIC, putative	+	492678	493070	445217	512549	67332	PASN	-	Gene within gap
AGU54310.1	RSAU_000447	493175..493576	AGU54310.1	RPS1-like RNA binding domain protein	+	493175	493576	445217	512549	67332	PASN	-	Gene within gap
AGU54311.1	RSAU_000448	493756..495051	AGU54311.1	tRNA(Ile)-lysidine synthetase, putative	+	493756	495051	445217	512549	67332	PASN	-	Gene within gap
AGU54312.1	RSAU_000449	495056..495595	AGU54312.1	hypoxanthine phosphoribosyltransferase	+	495056	495595	445217	512549	67332	PASN	-	Gene within gap
AGU54313.1	RSAU_000450	495853..497946	AGU54313.1	cell-division protein FtsH	+	495853	497946	445217	512549	67332	PASN	-	Gene within gap
AGU54314.1	RSAU_000451	498189..499070	AGU54314.1	33 kDa heat shock chaperonin Hsp33	+	498189	499070	445217	512549	67332	PASN	-	Gene within gap
AGU54315.1	RSAU_000452	499249..500181	AGU54315.1	cysteine synthase A	+	499249	500181	445217	512549	67332	PASN	-	Gene within gap
AGU54316.1	RSAU_000453	500397..501200	AGU54316.1	dihydropteroate synthase	+	500397	501200	445217	512549	67332	PASN	-	Gene within gap
AGU54317.1	RSAU_000454	501178..501543	AGU54317.1	7,8-dihydroneopterin aldolase	+	501178	501543	445217	512549	67332	PASN	-	Gene within gap
AGU54318.1	RSAU_000455	501540..502016	AGU54318.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, putative	+	501540	502016	445217	512549	67332	PASN	-	Gene within gap
AGU54319.1	RSAU_000456	502554..504041	AGU54319.1	lysyl-tRNA synthetase	+	502554	504041	445217	512549	67332	PASN	-	Gene within gap
AGU54320.1	RSAU_000469	complement(511061..512443)	AGU54320.1	transcription regulator, GntR family	-	511061	512443	445217	512549	67332	PASN	-	Gene within gap
AGU54321.1	RSAU_000470	512547..513434	AGU54321.1	pyridoxal biosynthesis lyase PdxS, putative	+	512547	513434	445217	512549	67332	PASN	-	Gene start in gap
AGU54560.1	RSAU_000722	778855..779910	AGU54560.1	Undecaprenyl-phosphate N-acetylglucosaminyl1-phosphate transferase, putative	+	778855	779910	778701	841635	62934	PASN	-	Gene within gap
AGU54561.1	RSAU_000723	complement(780082..780723)	AGU54561.1	putative membrane protein	-	780082	780723	778701	841635	62934	PASN	-	Gene within gap
AGU54562.1	RSAU_000724	780867..781733	AGU54562.1	degV family fatty acid transport protein	+	780867	781733	778701	841635	62934	PASN	-	Gene within gap
AGU54563.1	RSAU_000725	782097..783179	AGU54563.1	ComF operon protein 1-like DNA/RNA helicase, putative	+	782097	783179	778701	841635	62934	PASN	-	Gene within gap
AGU54564.1	RSAU_000726	783172..783846	AGU54564.1	ComF operon protein 3-like amidophosphoribosyltransferase, putative	+	783172	783846	778701	841635	62934	PASN	-	Gene within gap
AGU54565.1	RSAU_000727	783907..784479	AGU54565.1	ribosome-associated inhibitor protein, putative	+	783907	784479	778701	841635	62934	PASN	-	Gene within gap
AGU54566.1	RSAU_000728	784893..787424	AGU54566.1	preprotein translocase, SecA subunit, putative	+	784893	787424	778701	841635	62934	PASN	-	Gene within gap
AGU54567.1	RSAU_000729	787853..788848	AGU54567.1	peptide chain release factor 2	+	787853	788848	778701	841635	62934	PASN	-	Gene within gap
AGU54568.1	RSAU_000730	789257..790096	AGU54568.1	N-acetylmuramoyl-L-alanine amidase Sle1 LysM/CHAP domain protein, putative	+	789257	790096	778701	841635	62934	PASN	-	Gene within gap
AGU54569.1	RSAU_000731	790382..791032	AGU54569.1	HD domain phosphohydrolase, putative	+	790382	791032	778701	841635	62934	PASN	-	Gene within gap
AGU54570.1	RSAU_000732	791029..791265	AGU54570.1	putative DUF2198-containing protein	+	791029	791265	778701	841635	62934	PASN	-	Gene within gap
AGU54571.1	RSAU_000733	791534..793519	AGU54571.1	exinuclease ABC subunit B	+	791534	793519	778701	841635	62934	PASN	-	Gene within gap
AGU54572.1	RSAU_000734	793527..796373	AGU54572.1	excinuclease ABC subunit A	+	793527	796373	778701	841635	62934	PASN	-	Gene within gap
AGU54573.1	RSAU_000735	797094..798026	AGU54573.1	HPr kinase/phosphorylase	+	797094	798026	778701	841635	62934	PASN	-	Gene within gap
AGU54574.1	RSAU_000736	798032..798871	AGU54574.1	prolipoprotein diacylglyceryl transferase	+	798032	798871	778701	841635	62934	PASN	-	Gene within gap
AGU54575.1	RSAU_000737	798879..799364	AGU54575.1	O-acetyltransferase, putative	+	798879	799364	778701	841635	62934	PASN	-	Gene within gap
AGU54576.1	RSAU_000738	799372..800811	AGU54576.1	Tetratricopeptide repeat domain protein	+	799372	800811	778701	841635	62934	PASN	-	Gene within gap
AGU54577.1	RSAU_000739	800878..801813	AGU54577.1	thioredoxin reductase	+	800878	801813	778701	841635	62934	PASN	-	Gene within gap
AGU54578.1	RSAU_000740	802348..803259	AGU54578.1	P-loop-containing kinase, putative	+	802348	803259	778701	841635	62934	PASN	-	Gene within gap
AGU54579.1	RSAU_000741	803256..804251	AGU54579.1	2-phospho-L-lactate transferase-like protein	+	803256	804251	778701	841635	62934	PASN	-	Gene within gap
AGU54580.1	RSAU_000742	804362..805306	AGU54580.1	hypothetical protein	+	804362	805306	778701	841635	62934	PASN	-	Gene within gap
AGU54581.1	RSAU_000744	805876..806463	AGU54581.1	ATP-dependent Clp protease, proteolytic subunit ClpP	+	805876	806463	778701	841635	62934	PASN	-	Gene within gap
AGU54582.1	RSAU_000745	806646..808280	AGU54582.1	NAD-dependent malate dehydrogenase, putative	+	806646	808280	778701	841635	62934	PASN	-	Gene within gap
AGU54583.1	RSAU_000746	complement(808487..809389)	AGU54583.1	cell-division inhibitor, putative	-	808487	809389	778701	841635	62934	PASN	-	Gene within gap
AGU54584.1	RSAU_000748	810092..810721	AGU54584.1	putative exported protein	+	810092	810721	778701	841635	62934	PASN	-	Gene within gap
AGU54585.1	RSAU_000749	811590..812603	AGU54585.1	glycolytic operon regulator	+	811590	812603	778701	841635	62934	PASN	-	Gene within gap
AGU54586.1	RSAU_000750	812656..813666	AGU54586.1	glyceraldehyde 3-phosphate dehydrogenase 1	+	812656	813666	778701	841635	62934	PASN	-	Gene within gap
AGU54587.1	RSAU_000751	813805..814995	AGU54587.1	phosphoglycerate kinase	+	813805	814995	778701	841635	62934	PASN	-	Gene within gap
AGU54588.1	RSAU_000752	815117..815878	AGU54588.1	triosephosphate isomerase	+	815117	815878	778701	841635	62934	PASN	-	Gene within gap
AGU54589.1	RSAU_000753	815881..817398	AGU54589.1	2, 3-bisphosphoglycerate-independent phosphoglycerate mutase	+	815881	817398	778701	841635	62934	PASN	-	Gene within gap
AGU54590.1	RSAU_000754	817528..818832	AGU54590.1	enolase	+	817528	818832	778701	841635	62934	PASN	-	Gene within gap
AGU54591.1	RSAU_000755	819172..819630	AGU54591.1	hypothetical protein	+	819172	819630	778701	841635	62934	PASN	-	Gene within gap
AGU54592.1	RSAU_000756	819697..819930	AGU54592.1	preprotein translocase, SecG subunit	+	819697	819930	778701	841635	62934	PASN	-	Gene within gap
AGU54593.1	RSAU_000757	820059..820799	AGU54593.1	carboxylesterase precursor, putative	+	820059	820799	778701	841635	62934	PASN	-	Gene within gap
AGU54594.1	RSAU_000758	820833..823205	AGU54594.1	ribonuclease R, putative	+	820833	823205	778701	841635	62934	PASN	-	Gene within gap
AGU54595.1	RSAU_000759	823227..823691	AGU54595.1	SsrA-binding protein	+	823227	823691	778701	841635	62934	PASN	-	Gene within gap
AGU54596.1	RSAU_000760	complement(825118..825441)	AGU54596.1	hypothetical protein	-	825118	825441	778701	841635	62934	PASN	-	Gene within gap
AGU54597.1	RSAU_000761	complement(825457..825603)	AGU54597.1	hypothetical protein	-	825457	825603	778701	841635	62934	PASN	-	Gene within gap
AGU54598.1	RSAU_000762	complement(825789..826517)	AGU54598.1	lipoprotein, putative	-	825789	826517	778701	841635	62934	PASN	-	Gene within gap
AGU54599.1	RSAU_000763	827116..827637	AGU54599.1	putative membrane protein	+	827116	827637	778701	841635	62934	PASN	-	Gene within gap
AGU54600.1	RSAU_000764	827776..828306	AGU54600.1	acetyltransferase, putative	+	827776	828306	778701	841635	62934	PASN	-	Gene within gap
AGU54601.1	RSAU_000765	828570..831467	AGU54601.1	clumping factor A	+	828570	831467	778701	841635	62934	PASN	-	Gene within gap
AGU54602.1	RSAU_000766	831688..833208	AGU54602.1	staphylocoagulase-like precursor, putative	+	831688	833208	778701	841635	62934	PASN	-	Gene within gap
AGU54603.1	RSAU_000767	833533..834555	AGU54603.1	extracellular matrix and plasma binding protein precursor, putative	+	833533	834555	778701	841635	62934	PASN	-	Gene within gap
AGU54604.1	RSAU_000768	834891..835229	AGU54604.1	hypothetical protein	+	834891	835229	778701	841635	62934	PASN	-	Gene within gap
AGU54605.1	RSAU_000769	835704..836390	AGU54605.1	thermonuclease-like protein	+	835704	836390	778701	841635	62934	PASN	-	Gene within gap
AGU54606.1	RSAU_000770	836747..836947	AGU54606.1	cold shock protein C	+	836747	836947	778701	841635	62934	PASN	-	Gene within gap
AGU54607.1	RSAU_000771	complement(837726..838010)	AGU54607.1	hypothetical protein	-	837726	838010	778701	841635	62934	PASN	-	Gene within gap
AGU54608.1	RSAU_000772	complement(838098..838667)	AGU54608.1	hypothetical protein	-	838098	838667	778701	841635	62934	PASN	-	Gene within gap
AGU54609.1	RSAU_000773	839672..839875	AGU54609.1	putative DUF1250-containing protein	+	839672	839875	778701	841635	62934	PASN	-	Gene within gap
AGU54610.1	RSAU_000774	complement(839872..840108)	AGU54610.1	hypothetical protein	-	839872	840108	778701	841635	62934	PASN	-	Gene within gap
AGU54611.1	RSAU_000775	840333..840914	AGU54611.1	phosphoglycerate mutase-related protein	+	840333	840914	778701	841635	62934	PASN	-	Gene within gap
AGU54612.1	RSAU_000776	complement(840987..841604)	AGU54612.1	LysE type translocator protein, putative	-	840987	841604	778701	841635	62934	PASN	-	Gene within gap
AGU55775.1	RSAU_002018	complement(2158392..2159762)	AGU55775.1	transporter gate domain protein	-	2158392	2159762	2158325	2219319	60994	PASN	+	Gene within gap
AGU55776.1	RSAU_002019	complement(2159997..2160965)	AGU55776.1	heme transport system permease	-	2159997	2160965	2158325	2219319	60994	PASN	+	Gene within gap
AGU55777.1	RSAU_002020	complement(2160962..2161993)	AGU55777.1	heme transport system permease	-	2160962	2161993	2158325	2219319	60994	PASN	+	Gene within gap
AGU55778.1	RSAU_002021	complement(2162005..2162988)	AGU55778.1	heme ABC transporter lipoprotein	-	2162005	2162988	2158325	2219319	60994	PASN	+	Gene within gap
AGU55779.1	RSAU_002022	complement(2163383..2164453)	AGU55779.1	amino acid racemase, putative	-	2163383	2164453	2158325	2219319	60994	PASN	+	Gene within gap
AGU55780.1	RSAU_002023	complement(2164460..2166217)	AGU55780.1	IucA-IucC family aerobactin biosynthesis protein, putative	-	2164460	2166217	2158325	2219319	60994	PASN	+	Gene within gap
AGU55781.1	RSAU_002024	complement(2166204..2167397)	AGU55781.1	major facilitator superfamily transporter, putative	-	2166204	2167397	2158325	2219319	60994	PASN	+	Gene within gap
AGU55782.1	RSAU_002025	2167505..2169475	AGU55782.1	IucA-IucC family aerobactin biosynthesis protein, putative	+	2167505	2169475	2158325	2219319	60994	PASN	+	Gene within gap
AGU55783.1	RSAU_002026	complement(2169636..2170145)	AGU55783.1	alkaline shock protein Asp23	-	2169636	2170145	2158325	2219319	60994	PASN	+	Gene within gap
AGU55784.1	RSAU_002027	complement(2170209..2170448)	AGU55784.1	small integral membrane protein, putative	-	2170209	2170448	2158325	2219319	60994	PASN	+	Gene within gap
AGU55785.1	RSAU_002028	complement(2170461..2170997)	AGU55785.1	hypothetical protein	-	2170461	2170997	2158325	2219319	60994	PASN	+	Gene within gap
AGU55786.1	RSAU_002029	complement(2171172..2172734)	AGU55786.1	glycine betaine transporter, putative	-	2171172	2172734	2158325	2219319	60994	PASN	+	Gene within gap
AGU55787.1	RSAU_002030	complement(2173041..2174048)	AGU55787.1	arginate lyase-family protein	-	2173041	2174048	2158325	2219319	60994	PASN	+	Gene within gap
AGU55788.1	RSAU_002031	complement(2174283..2175284)	AGU55788.1	prostaglandin dehydrogenase-like protein	-	2174283	2175284	2158325	2219319	60994	PASN	+	Gene within gap
AGU55789.1	RSAU_002032	complement(2175563..2176432)	AGU55789.1	extracellular lipase/esterase, putative	-	2175563	2176432	2158325	2219319	60994	PASN	+	Gene within gap
AGU55790.1	RSAU_002033	complement(2176698..2178110)	AGU55790.1	6-phospho-beta-galactosidase	-	2176698	2178110	2158325	2219319	60994	PASN	+	Gene within gap
AGU55791.1	RSAU_002034	complement(2178128..2179840)	AGU55791.1	PTS system, lactose-specific IIBC component	-	2178128	2179840	2158325	2219319	60994	PASN	+	Gene within gap
AGU55792.1	RSAU_002035	complement(2179846..2180157)	AGU55792.1	PTS system, lactose-specific IIA component	-	2179846	2180157	2158325	2219319	60994	PASN	+	Gene within gap
AGU55793.1	RSAU_002036	complement(2180179..2181159)	AGU55793.1	tagatose 1,6-diphosphate aldolase	-	2180179	2181159	2158325	2219319	60994	PASN	+	Gene within gap
AGU55794.1	RSAU_002037	complement(2181163..2182095)	AGU55794.1	tagatose-6-phosphate kinase	-	2181163	2182095	2158325	2219319	60994	PASN	+	Gene within gap
AGU55795.1	RSAU_002038	complement(2182108..2182623)	AGU55795.1	galactose-6-phosphate isomerase, subunit LacB	-	2182108	2182623	2158325	2219319	60994	PASN	+	Gene within gap
AGU55796.1	RSAU_002039	complement(2182639..2183067)	AGU55796.1	galactose-6-phosphate isomerase, subunit LacA	-	2182639	2183067	2158325	2219319	60994	PASN	+	Gene within gap
AGU55797.1	RSAU_002040	complement(2183435..2184226)	AGU55797.1	lactose phosphotransferase system repressor, putative	-	2183435	2184226	2158325	2219319	60994	PASN	+	Gene within gap
AGU55798.1	RSAU_002041	2184441..2185172	AGU55798.1	Sir2 family NAD-dependent deacetylase, putative	+	2184441	2185172	2158325	2219319	60994	PASN	+	Gene within gap
AGU55799.1	RSAU_002042	complement(2185551..2186159)	AGU55799.1	hypothetical protein with DUF3885	-	2185551	2186159	2158325	2219319	60994	PASN	+	Gene within gap
AGU55800.1	RSAU_002043	complement(2186766..2187614)	AGU55800.1	aldo/keto reductase family protein	-	2186766	2187614	2158325	2219319	60994	PASN	+	Gene within gap
AGU55801.1	RSAU_002044	complement(2187684..2188100)	AGU55801.1	MerR family stress response transcriptional regulator, putative	-	2187684	2188100	2158325	2219319	60994	PASN	+	Gene within gap
AGU55802.1	RSAU_002045	2188507..2190930	AGU55802.1	hyaluronate lyase, putative	+	2188507	2190930	2158325	2219319	60994	PASN	+	Gene within gap
AGU55803.1	RSAU_002046	complement(2191104..2192033)	AGU55803.1	WYL domain transcriptional regulator,putative	-	2191104	2192033	2158325	2219319	60994	PASN	+	Gene within gap
AGU55804.1	RSAU_002047	2192124..2192759	AGU55804.1	glutamine amidotransferase (GATase1)-like domain protein	+	2192124	2192759	2158325	2219319	60994	PASN	+	Gene within gap
AGU55805.1	RSAU_002048	2192948..2193373	AGU55805.1	Map domain protein	+	2192948	2193373	2158325	2219319	60994	PASN	+	Gene within gap
AGU55806.1	RSAU_002049	complement(2193763..2194467)	AGU55806.1	alpha-acetolactate decarboxylase	-	2193763	2194467	2158325	2219319	60994	PASN	+	Gene within gap
AGU55807.1	RSAU_002050	complement(2194504..2196168)	AGU55807.1	acetolactate synthase	-	2194504	2196168	2158325	2219319	60994	PASN	+	Gene within gap
AGU55808.1	RSAU_002051	complement(2196605..2196787)	AGU55808.1	hypothetical protein	-	2196605	2196787	2158325	2219319	60994	PASN	+	Gene within gap
AGU55809.1	RSAU_002052	complement(2197879..2199315)	AGU55809.1	transcriptional regulator, putative	-	2197879	2199315	2158325	2219319	60994	PASN	+	Gene within gap
AGU55810.1	RSAU_002053	complement(2199664..2200062)	AGU55810.1	30S ribosomal protein S9	-	2199664	2200062	2158325	2219319	60994	PASN	+	Gene within gap
AGU55811.1	RSAU_002054	complement(2200076..2200513)	AGU55811.1	50S ribosomal protein L13	-	2200076	2200513	2158325	2219319	60994	PASN	+	Gene within gap
AGU55812.1	RSAU_002055	complement(2200753..2201556)	AGU55812.1	tRNA pseudouridine synthase, putative	-	2200753	2201556	2158325	2219319	60994	PASN	+	Gene within gap
AGU55813.1	RSAU_002056	complement(2201561..2202367)	AGU55813.1	cobalt transport protein, putative	-	2201561	2202367	2158325	2219319	60994	PASN	+	Gene within gap
AGU55814.1	RSAU_002057	complement(2202357..2203217)	AGU55814.1	cobalt transporter ATP-binding subunit	-	2202357	2203217	2158325	2219319	60994	PASN	+	Gene within gap
AGU55815.1	RSAU_002058	complement(2203214..2204134)	AGU55815.1	cobalt transporter ATP-binding subunit 2	-	2203214	2204134	2158325	2219319	60994	PASN	+	Gene within gap
AGU55816.1	RSAU_002059	complement(2204561..2204929)	AGU55816.1	50S ribosomal protein L17	-	2204561	2204929	2158325	2219319	60994	PASN	+	Gene within gap
AGU55817.1	RSAU_002060	complement(2204946..2205890)	AGU55817.1	DNA-directed RNA polymerase, subunit alpha	-	2204946	2205890	2158325	2219319	60994	PASN	+	Gene within gap
AGU55818.1	RSAU_002061	complement(2205965..2206354)	AGU55818.1	30S ribosomal protein S11	-	2205965	2206354	2158325	2219319	60994	PASN	+	Gene within gap
AGU55819.1	RSAU_002062	complement(2206378..2206743)	AGU55819.1	30S ribosomal protein S13	-	2206378	2206743	2158325	2219319	60994	PASN	+	Gene within gap
AGU55820.1	RSAU_002063	complement(2206766..2206879)	AGU55820.1	50S ribosomal protein L36	-	2206766	2206879	2158325	2219319	60994	PASN	+	Gene within gap
AGU55821.1	RSAU_002064	complement(2206911..2207129)	AGU55821.1	translation initiation factor IF-1 (infA)	-	2206911	2207129	2158325	2219319	60994	PASN	+	Gene within gap
AGU55822.1	RSAU_002065	complement(2207322..2207969)	AGU55822.1	adenylate kinase	-	2207322	2207969	2158325	2219319	60994	PASN	+	Gene within gap
AGU55823.1	RSAU_002066	complement(2207986..2209278)	AGU55823.1	preprotein translocase, SecY subunit	-	2207986	2209278	2158325	2219319	60994	PASN	+	Gene within gap
AGU55824.1	RSAU_002067	complement(2209278..2209718)	AGU55824.1	50S ribosomal protein L15	-	2209278	2209718	2158325	2219319	60994	PASN	+	Gene within gap
AGU55825.1	RSAU_002068	complement(2209735..2209914)	AGU55825.1	50S ribosomal protein L30	-	2209735	2209914	2158325	2219319	60994	PASN	+	Gene within gap
AGU55826.1	RSAU_002069	complement(2209931..2210431)	AGU55826.1	ribosomal protein S5	-	2209931	2210431	2158325	2219319	60994	PASN	+	Gene within gap
AGU55827.1	RSAU_002070	complement(2210452..2210811)	AGU55827.1	50S ribosomal protein L18	-	2210452	2210811	2158325	2219319	60994	PASN	+	Gene within gap
AGU55828.1	RSAU_002071	complement(2210842..2211378)	AGU55828.1	50S ribosomal protein L6	-	2210842	2211378	2158325	2219319	60994	PASN	+	Gene within gap
AGU55829.1	RSAU_002072	complement(2211403..2211801)	AGU55829.1	30S ribosomal protein S8	-	2211403	2211801	2158325	2219319	60994	PASN	+	Gene within gap
AGU55830.1	RSAU_002073	complement(2211833..2212018)	AGU55830.1	30S ribosomal protein S14	-	2211833	2212018	2158325	2219319	60994	PASN	+	Gene within gap
AGU55831.1	RSAU_002074	complement(2212041..2212580)	AGU55831.1	50S ribosomal protein L5	-	2212041	2212580	2158325	2219319	60994	PASN	+	Gene within gap
AGU55832.1	RSAU_002075	complement(2212607..2212924)	AGU55832.1	50S ribosomal protein L24	-	2212607	2212924	2158325	2219319	60994	PASN	+	Gene within gap
AGU55833.1	RSAU_002076	complement(2212960..2213328)	AGU55833.1	50S ribosomal protein L14	-	2212960	2213328	2158325	2219319	60994	PASN	+	Gene within gap
AGU55834.1	RSAU_002077	complement(2213360..2213623)	AGU55834.1	30S ribosomal protein S17	-	2213360	2213623	2158325	2219319	60994	PASN	+	Gene within gap
AGU55835.1	RSAU_002078	complement(2213647..2213856)	AGU55835.1	50S ribosomal protein L29	-	2213647	2213856	2158325	2219319	60994	PASN	+	Gene within gap
AGU55836.1	RSAU_002079	complement(2213846..2214280)	AGU55836.1	50S ribosomal protein L16	-	2213846	2214280	2158325	2219319	60994	PASN	+	Gene within gap
AGU55837.1	RSAU_002080	complement(2214283..2214936)	AGU55837.1	30S ribosomal protein S3	-	2214283	2214936	2158325	2219319	60994	PASN	+	Gene within gap
AGU55838.1	RSAU_002081	complement(2214960..2215313)	AGU55838.1	50S ribosomal protein L22	-	2214960	2215313	2158325	2219319	60994	PASN	+	Gene within gap
AGU55839.1	RSAU_002082	complement(2215342..2215620)	AGU55839.1	30S ribosomal protein S19	-	2215342	2215620	2158325	2219319	60994	PASN	+	Gene within gap
AGU55840.1	RSAU_002083	complement(2215687..2216520)	AGU55840.1	50S ribosomal protein L2	-	2215687	2216520	2158325	2219319	60994	PASN	+	Gene within gap
AGU55841.1	RSAU_002084	complement(2216553..2216828)	AGU55841.1	50S ribosomal protein L23	-	2216553	2216828	2158325	2219319	60994	PASN	+	Gene within gap
AGU55842.1	RSAU_002085	complement(2216828..2217451)	AGU55842.1	50S ribosomal protein L4	-	2216828	2217451	2158325	2219319	60994	PASN	+	Gene within gap
AGU55843.1	RSAU_002086	complement(2217478..2218140)	AGU55843.1	50S ribosomal protein L3	-	2217478	2218140	2158325	2219319	60994	PASN	+	Gene within gap
AGU55844.1	RSAU_002087	complement(2218168..2218476)	AGU55844.1	30S ribosomal protein S10	-	2218168	2218476	2158325	2219319	60994	PASN	+	Gene within gap
AGU55845.1	RSAU_002088	2218833..2219222	AGU55845.1	hypothetical protein	+	2218833	2219222	2158325	2219319	60994	PASN	+	Gene within gap
AGU55509.1	RSAU_001701	complement(1844443..1845384)	AGU55509.1	cmp-binding-factor 1	-	1844443	1845384	1844364	1901048	56684	PASN	+	Gene within gap
AGU55510.1	RSAU_001702	complement(1845381..1848317)	AGU55510.1	hypothetical protein	-	1845381	1848317	1844364	1901048	56684	PASN	+	Gene within gap
AGU55511.1	RSAU_001703	complement(1848307..1849503)	AGU55511.1	DNA repair exonuclease, putative	-	1848307	1849503	1844364	1901048	56684	PASN	+	Gene within gap
AGU55512.1	RSAU_001704	complement(1850426..1850770)	AGU55512.1	hypothetical protein with DUF964	-	1850426	1850770	1844364	1901048	56684	PASN	+	Gene within gap
AGU55513.1	RSAU_001705	complement(1850839..1851963)	AGU55513.1	hypothetical protein	-	1850839	1851963	1844364	1901048	56684	PASN	+	Gene within gap
AGU55514.1	RSAU_001706	complement(1852142..1852606)	AGU55514.1	transcriptional regulator, putative	-	1852142	1852606	1844364	1901048	56684	PASN	+	Gene within gap
AGU55515.1	RSAU_001707	complement(1852962..1853585)	AGU55515.1	two-component response regulator	-	1852962	1853585	1844364	1901048	56684	PASN	+	Gene within gap
AGU55516.1	RSAU_001708	complement(1853607..1854719)	AGU55516.1	two-component sensor histidine kinase	-	1853607	1854719	1844364	1901048	56684	PASN	+	Gene within gap
AGU55517.1	RSAU_001709	1854882..1855703	AGU55517.1	RNA pseudouridylate synthase	+	1854882	1855703	1844364	1901048	56684	PASN	+	Gene within gap
AGU55518.1	RSAU_001710	complement(1856167..1857552)	AGU55518.1	fumarate hydratase class-II	-	1856167	1857552	1844364	1901048	56684	PASN	+	Gene within gap
AGU55519.1	RSAU_001711	complement(1857748..1858143)	AGU55519.1	staphylococcal membrane protein, putative	-	1857748	1858143	1844364	1901048	56684	PASN	+	Gene within gap
AGU55520.1	RSAU_001712	complement(1858802..1858954)	AGU55520.1	putative staphylococcal protein	-	1858802	1858954	1844364	1901048	56684	PASN	+	Gene within gap
AGU55521.1	RSAU_001713	complement(1858979..1859578)	AGU55521.1	glucosamine-6-phosphate isomerase, putative	-	1858979	1859578	1844364	1901048	56684	PASN	+	Gene within gap
AGU55522.1	RSAU_001714	complement(1859738..1860208)	AGU55522.1	RNA methyltransferase, TrmH family	-	1859738	1860208	1844364	1901048	56684	PASN	+	Gene within gap
AGU55523.1	RSAU_001715	complement(1860213..1861340)	AGU55523.1	iron-sulfur cluster-binding protein, putative	-	1860213	1861340	1844364	1901048	56684	PASN	+	Gene within gap
AGU55524.1	RSAU_001716	complement(1861491..1862219)	AGU55524.1	amino acid ABC transporter, ATP-binding protein	-	1861491	1862219	1844364	1901048	56684	PASN	+	Gene within gap
AGU55525.1	RSAU_001717	complement(1862206..1863663)	AGU55525.1	amino acid ABC transporter, /substrate-binding/permease protein	-	1862206	1863663	1844364	1901048	56684	PASN	+	Gene within gap
AGU55526.1	RSAU_001718	complement(1863921..1864982)	AGU55526.1	Phosphotransferase system, IIC domain protein	-	1863921	1864982	1844364	1901048	56684	PASN	+	Gene within gap
AGU55527.1	RSAU_001748	complement(1873710..1874156)	AGU55527.1	Fur-like transcriptional regulator	-	1873710	1874156	1844364	1901048	56684	PASN	+	Gene within gap
AGU55528.1	RSAU_001749	complement(1874253..1875203)	AGU55528.1	D-3-phosphoglycerate dehydrogenase, putative	-	1874253	1875203	1844364	1901048	56684	PASN	+	Gene within gap
AGU55529.1	RSAU_001750	complement(1875209..1875664)	AGU55529.1	bacterioferritin comigratory protein	-	1875209	1875664	1844364	1901048	56684	PASN	+	Gene within gap
AGU55530.1	RSAU_001751	1875745..1877034	AGU55530.1	glutamate-1-semialdehyde-2,1-aminomutase	+	1875745	1877034	1844364	1901048	56684	PASN	+	Gene within gap
AGU55531.1	RSAU_001752	1877327..1878421	AGU55531.1	putative membrane protein	+	1877327	1878421	1844364	1901048	56684	PASN	+	Gene within gap
AGU55532.1	RSAU_001753	complement(1878612..1880348)	AGU55532.1	ABC-type multidrug transport system, ATPase and permease component	-	1878612	1880348	1844364	1901048	56684	PASN	+	Gene within gap
AGU55533.1	RSAU_001754	complement(1880639..1881181)	AGU55533.1	hypothetical protein with DUF402	-	1880639	1881181	1844364	1901048	56684	PASN	+	Gene within gap
AGU55534.1	RSAU_001755	complement(1881484..1882521)	AGU55534.1	A-G-specific adenine glycosylase, putative	-	1881484	1882521	1844364	1901048	56684	PASN	+	Gene within gap
AGU55535.1	RSAU_001756	1882673..1883650	AGU55535.1	membrane-bound metal-dependent hydrolase, putative	+	1882673	1883650	1844364	1901048	56684	PASN	+	Gene within gap
AGU55536.1	RSAU_001757	complement(1883911..1884747)	AGU55536.1	teichoic acid ABC superfamily ATP binding cassette transporter, membrane protein, putative	-	1883911	1884747	1844364	1901048	56684	PASN	+	Gene within gap
AGU55537.1	RSAU_001758	complement(1884756..1886273)	AGU55537.1	teichoic acid translocation ATP-binding protein, putative	-	1884756	1886273	1844364	1901048	56684	PASN	+	Gene within gap
AGU55538.1	RSAU_001759	complement(1886288..1886602)	AGU55538.1	hypothetical protein with DUF1811	-	1886288	1886602	1844364	1901048	56684	PASN	+	Gene within gap
AGU55539.1	RSAU_001760	complement(1886580..1887398)	AGU55539.1	recombination regulator RecX	-	1886580	1887398	1844364	1901048	56684	PASN	+	Gene within gap
AGU55540.1	RSAU_001761	complement(1887659..1888468)	AGU55540.1	monofunctional glycosyltransferase	-	1887659	1888468	1844364	1901048	56684	PASN	+	Gene within gap
